iter	RMSE
0	0.9611881257
1	0.9245067844
2	0.8888962549
3	0.8550039474
4	0.8222979547
5	0.7909330789
6	0.7607791408
7	0.7317577089
8	0.7038571591
9	0.6769944537
10	0.6509458945
11	0.6261286342
12	0.6022477268
13	0.579210221
14	0.556733258
15	0.5351287493
16	0.5146790539
17	0.4950292097
18	0.4761589987
19	0.4579820651
20	0.4450986435
21	0.4278423655
22	0.4114866653
23	0.3958073109
24	0.3807261022
25	0.3659582231
26	0.3518479463
27	0.3382014804
28	0.3250888531
29	0.3124934837
30	0.3005922907
31	0.2889356845
32	0.2779314807
33	0.2673470773
34	0.2571563139
35	0.2473656589
36	0.2379319321
37	0.2288561173
38	0.2201262062
39	0.2117480052
40	0.2036901862
41	0.1959390403
42	0.1884838361
43	0.181313696
44	0.1744174893
45	0.1676626415
46	0.1611703357
47	0.1550356834
48	0.1490343853
49	0.1433701442
50	0.1379223446
51	0.1326801434
52	0.1276408837
53	0.1227053515
54	0.1180474886
55	0.1135678199
56	0.1092142146
57	0.1050728139
58	0.1010889274
59	0.09725549627
60	0.09357201277
61	0.09002948367
62	0.08662301208
63	0.08332266727
64	0.0801740747
65	0.07714644643
66	0.07418159156
67	0.0713843139
68	0.06869456988
69	0.06610767964
70	0.06360659924
71	0.0611758611
72	0.05887935543
73	0.05665542565
74	0.05453386784
75	0.05245809756
76	0.05049976468
77	0.04861848808
78	0.04680712264
79	0.04506637995
80	0.0433652613
81	0.0417319573
82	0.04018942035
83	0.03871076595
84	0.03728976451
85	0.03590020974
86	0.03458969263
87	0.03333239163
88	0.03212553245
89	0.03096658001
90	0.02984650032
91	0.02877892929
92	0.02775046563
93	0.02676796469
94	0.02582494441
95	0.02492110563
96	0.02403863394
97	0.02320180269
98	0.02239256994
99	0.02161586126
100	0.02120597928
101	0.02047883276
102	0.01979277019
103	0.01913566383
104	0.01850079982
105	0.0178891133
106	0.01729574185
107	0.01674438024
108	0.016217727
109	0.01571353682
110	0.01521437666
111	0.01475440726
112	0.01429709045
113	0.01385627844
114	0.01380305435
115	0.01338460786
116	0.01299970217
117	0.01263515456
118	0.01227818869
119	0.01192972016
120	0.01159692415
121	0.01156838674
122	0.01124708815
123	0.01121382266
124	0.01092014921
125	0.01071258496
126	0.01041526919
127	0.01013108085
128	0.009870831705
129	0.009624671622
130	0.009594275447
131	0.009575954762
132	0.009543309252
133	0.009293676229
134	0.009227255563
135	0.009201152896
136	0.009167848662
137	0.009025358419
138	0.008803708461
139	0.008763211331
140	0.008735753564
141	0.008710287331
142	0.008504468209
143	0.008477910229
144	0.008451360368
145	0.008317997071
146	0.008293580874
147	0.008276211155
148	0.00823872282
149	0.008216931124
150	0.008203805396
151	0.008010241097
152	0.007987001015
153	0.007794347636
154	0.00777289754
155	0.007600679339
156	0.007436219639
157	0.007340028793
158	0.007202435717
159	0.007190088845
160	0.007049673995
161	0.0070289736
162	0.006879540948
163	0.006762498965
164	0.006742273325
165	0.006723401337
166	0.006657813994
167	0.006640154238
168	0.006611306035
169	0.006593758307
170	0.006475288696
171	0.006358966558
172	0.006335447796
173	0.006317904067
174	0.006301711029
175	0.006285684978
176	0.006165020064
177	0.006063493233
178	0.005953514422
179	0.005848723956
180	0.005833683249
181	0.005818990705
182	0.005805060896
183	0.005761122062
184	0.005664305463
185	0.005646502773
186	0.005557971985
187	0.005494791643
188	0.005444924759
189	0.005373227882
190	0.00531971845
191	0.005273722688
192	0.005224425253
193	0.005203698728
194	0.005190923496
195	0.005146156067
196	0.005091811097
197	0.005050206282
198	0.005037074118
199	0.004992847521
200	0.00498013278
201	0.004968190482
202	0.004925991671
203	0.004869321713
204	0.004848227494
205	0.004821033843
206	0.004768483422
207	0.004718576753
208	0.004682929985
209	0.004671706854
210	0.004638157169
211	0.004621235093
212	0.004605595029
213	0.004591861784
214	0.004573097403
215	0.004559467631
216	0.004514642769
217	0.004494049091
218	0.00446193286
219	0.004427031241
